Date,Time,Cases
01/09/1918,1,6
02/09/1918,2,3
03/09/1918,3,0
04/09/1918,4,0
05/09/1918,5,0
06/09/1918,6,2
07/09/1918,7,0
08/09/1918,8,4
09/09/1918,9,2
10/09/1918,10,3
11/09/1918,11,4
12/09/1918,12,2
13/09/1918,13,4
14/09/1918,14,0
15/09/1918,15,4
16/09/1918,16,8
17/09/1918,17,6
18/09/1918,18,4
19/09/1918,19,3
20/09/1918,20,11
21/09/1918,21,5
22/09/1918,22,9
23/09/1918,23,31
24/09/1918,24,19
25/09/1918,25,24
26/09/1918,26,23
27/09/1918,27,24
28/09/1918,28,47
29/09/1918,29,26
30/09/1918,30,32
01/10/1918,31,138
02/10/1918,32,57
03/10/1918,33,67
04/10/1918,34,91
05/10/1918,35,98
06/10/1918,36,103
07/10/1918,37,94
08/10/1918,38,99
09/10/1918,39,65
10/10/1918,40,117
11/10/1918,41,83
12/10/1918,42,88
13/10/1918,43,47
14/10/1918,44,66
15/10/1918,45,135
16/10/1918,46,34
17/10/1918,47,29
18/10/1918,48,44
19/10/1918,49,24
20/10/1918,50,42
21/10/1918,51,12
22/10/1918,52,18
23/10/1918,53,26
24/10/1918,54,12
25/10/1918,55,19
26/10/1918,56,11
27/10/1918,57,12
28/10/1918,58,14
29/10/1918,59,7
30/10/1918,60,4
31/10/1918,61,3
01/11/1918,62,25
02/11/1918,63,3
03/11/1918,64,6
04/11/1918,65,5
05/11/1918,66,2
06/11/1918,67,3
07/11/1918,68,10
08/11/1918,69,6
09/11/1918,70,4
10/11/1918,71,7
11/11/1918,72,6
12/11/1918,73,4
13/11/1918,74,2
14/11/1918,75,1
15/11/1918,76,3
16/11/1918,77,2
17/11/1918,78,1
18/11/1918,79,6
19/11/1918,80,4
20/11/1918,81,3
21/11/1918,82,4
22/11/1918,83,0
23/11/1918,84,2
24/11/1918,85,1
25/11/1918,86,0
26/11/1918,87,1
27/11/1918,88,2
28/11/1918,89,4
29/11/1918,90,1
30/11/1918,91,2
